,0
60,b'Watched your podcast citing your promising results of treating a young boys autism with a fecal t':
61,neutral: 0.457267701625824
62,anger: 0.36843863129615784
63,annoyance: 0.3591243028640747
64,
65,b' DavidPerlmutter About Probiotic amp Microbiota very interesting this websit':
66,admiration: 0.542478621006012
67,approval: 0.40052950382232666
68,annoyance: 0.3646121919155121
69,
70,b'The Mediterranean Diet has potential heart health benefits':
71,neutral: 0.6499035358428955
72,nervousness: 0.35918644070625305
73,embarrassment: 0.3571658730506897
74,
75,b'Good luck dear professor':
76,optimism: 0.7627467513084412
77,admiration: 0.4841286838054657
78,caring: 0.44562390446662903
79,
80,b'Great work ':
81,admiration: 0.9999905824661255
82,surprise: 0.370057612657547
83,pride: 0.3653237521648407
84,
85,b' CedarsSinai You are so kind thank you':
86,gratitude: 0.994174063205719
87,admiration: 0.4374068081378937
88,pride: 0.35434165596961975
89,
90,b' Cara PR Comms CedarsSinai Nice article Ali You are continuing from where you left off at Houston Many congratulations':
91,admiration: 0.612386167049408
92,curiosity: 0.3808092474937439
93,neutral: 0.36141547560691833
94,
95,b'Extract from soursop leaves can prevent the symptoms of fibromyalgia study suggest':
96,neutral: 0.611388087272644
97,approval: 0.37017229199409485
98,caring: 0.35587263107299805
99,
100,b'We love SoursopTea ':
101,love: 0.9999996423721313
102,gratitude: 0.36481884121894836
103,nervousness: 0.3608858287334442
104,
105,b' WUSTLmed OMG and what exactly is promising about that ':
106,curiosity: 0.479348361492157
107,approval: 0.3741646409034729
108,surprise: 0.3693281412124634
109,
110,b' WUSTLmed Why would you know Theres no treatment One of the Wilson amp Jungner criteria for screening early diagnosis ':
111,curiosity: 0.5790525674819946
112,confusion: 0.398112952709198
113,neutral: 0.3878374695777893
114,
115,b'Thanks for sharing this ':
116,gratitude: 0.9949254989624023
117,pride: 0.3462602496147156
118,sadness: 0.3450430631637573
119,
120,b'Gold destroys everything from central banks to prostate cancer ':
121,neutral: 0.3948816955089569
122,curiosity: 0.3731871247291565
123,approval: 0.3720381557941437
124,
125,b'Wow if you need an IP attorney to support you on this one Im raising my hand ':
126,joy: 0.3879152834415436
127,curiosity: 0.3851337134838104
128,caring: 0.3645319640636444
129,
130,b' MDAndersonNews NatureMedicine Take a look at Phillip Newmans case history At 17 he had diarrhea f':
131,neutral: 0.4718785583972931
132,nervousness: 0.36011940240859985
133,embarrassment: 0.35795530676841736
134,
135,b'Kefir':
136,neutral: 0.643091082572937
137,anger: 0.5078092813491821
138,curiosity: 0.4252980351448059
139,
140,b'Makes me feel better about my yogurt habit ':
141,approval: 0.38981229066848755
142,sadness: 0.3846263289451599
143,joy: 0.37122032046318054
144,
145,b' JoseAntonioPh':
146,admiration: 0.7242963910102844
147,joy: 0.5632040500640869
148,amusement: 0.5328909158706665
149,
150,b' Plenty but not too much because A very high consumption of non fermented dairy products on the':
151,neutral: 0.4366137683391571
152,disapproval: 0.3833164572715759
153,approval: 0.37187570333480835
154,
155,b' DiscoStew66 or people that eat fermented dairy products are trying to be healthy generally saying':
156,neutral: 0.50226229429245
157,curiosity: 0.40189075469970703
158,annoyance: 0.37540876865386963
159,
160,b' 4bb3neuroimmune EVIDENCE Measuring CSF cytokine levels may have clinical utility in both identifying':
161,neutral: 0.5347751975059509
162,curiosity: 0.43024301528930664
163,confusion: 0.3635861277580261
164,
165,b' LillianBlau ECNPtweets EurekAlert Pretty sure this is backwards My bipolar treatment has seriousl':
166,admiration: 0.5088120102882385
167,approval: 0.428413987159729
168,disapproval: 0.3683494031429291
169,
170,b' 2healthylife ECNPtweets EurekAlert I want to get my hands on the study Im interested in the anti':
171,desire: 0.4157485365867615
172,neutral: 0.38561150431632996
173,approval: 0.36487534642219543
174,
175,b'Im not ready for snow ':
176,neutral: 0.5590869784355164
177,disapproval: 0.4376908540725708
178,confusion: 0.3618152439594269
179,
180,b'As Im writing this the start of a blizzard whiteout is happening outside my window ':
181,joy: 0.37030839920043945
182,neutral: 0.3653557002544403
183,approval: 0.3607058823108673
184,
185,b' D Oickle Were up to three midwives now in temiskamingshores covering area all the way up to Kirkland Lake ':
186,neutral: 0.5911464691162109
187,annoyance: 0.3582005500793457
188,embarrassment: 0.35708966851234436
189,
190,b' D Oickle I was so impressed when I learned this That may beat all of Nova Scotia ':
191,approval: 0.36988329887390137
192,confusion: 0.3654273748397827
193,realization: 0.36539316177368164
194,
195,b' Canadamidwives':
196,neutral: 0.9746295213699341
197,curiosity: 0.4434158205986023
198,confusion: 0.37014514207839966
199,
200,b' MidwivesRCM ScotlandRCM WhoseShoes world midwives BUMidwiferySoc MidwivesIreland De KNOV':
201,neutral: 0.4806685447692871
202,anger: 0.398235023021698
203,annoyance: 0.36561477184295654
204,
205,b' birthhumanright MidwivesRCM ScotlandRCM WhoseShoes world midwives BUMidwiferySoc De KNOV Tha':
206,neutral: 0.4521652162075043
207,anger: 0.38174867630004883
208,annoyance: 0.3582155406475067
209,
210,b' RHDinPregnancy sistercherisse ':
211,anger: 0.5909860134124756
212,neutral: 0.528968870639801
213,curiosity: 0.4626656174659729
214,
215,b' world midwives RHDinPregnancy Yay the midwives AboriginalMidw1':
216,neutral: 0.46109649538993835
217,admiration: 0.39322495460510254
218,anger: 0.3621099293231964
219,
220,b' and you are doing it midwife cw Wow ':
221,admiration: 0.48463788628578186
222,curiosity: 0.3907926380634308
223,joy: 0.378775030374527
224,
225,b'Boom ':
226,anger: 0.73054039478302
227,neutral: 0.5090817809104919
228,amusement: 0.41844287514686584
229,
230,b' janethemidwife SheenaBSooD SagefemmeSB JeniStevensS2S elainebdmidwife BradfieldZoe nodexl':
231,neutral: 0.5980386734008789
232,joy: 0.374263197183609
233,sadness: 0.3656185269355774
234,
235,b' dionnems SheenaBSooD SagefemmeSB JeniStevensS2S elainebdmidwife BradfieldZoe nodexl':
236,neutral: 0.573800265789032
237,annoyance: 0.3609190285205841
238,sadness: 0.35945287346839905
239,
240,b'And more ':
241,neutral: 0.8550218939781189
242,remorse: 0.3626862168312073
243,approval: 0.3600752353668213
244,
245,b'Forget milk Use indegenious cow urine as medicine and cancer will commit suicide':
246,approval: 0.3750666081905365
247,anger: 0.3623054325580597
248,embarrassment: 0.3577471673488617
249,
250,b' CowVetPaul':
251,neutral: 0.8620976209640503
252,love: 0.41057777404785156
253,anger: 0.3969927728176117
254,
255,b' EurekAlert I agree But for every good image the public sees many of these in the media':
256,approval: 0.5777046084403992
257,admiration: 0.45860037207603455
258,optimism: 0.39300379157066345
259,
260,b'Very cool Is it reliable in frozen stool samples ':
261,admiration: 0.5160608887672424
262,neutral: 0.4073721766471863
263,approval: 0.3775000274181366
264,
265,b' davidamills But it doesnt measure Bifidobacterium at all It measures metabolites that can be pr':
266,neutral: 0.5291319489479065
267,approval: 0.3822154700756073
268,disapproval: 0.359001100063324
269,
270,b' davidamills The EVIVO test measures levels of key metabolites including acetate and lactate which i':
271,admiration: 0.417212575674057
272,neutral: 0.3835568428039551
273,approval: 0.3617370128631592
274,
275,b'Yes we designed it to work with previously frozen stool Check out our video on how this works':
276,neutral: 0.4853658974170685
277,curiosity: 0.40890753269195557
278,approval: 0.36185306310653687
279,
280,b' beatinggbm4':
281,neutral: 0.7122181057929993
282,curiosity: 0.4916549026966095
283,anger: 0.42476150393486023
284,
285,b'lets hope so ':
286,optimism: 0.999845027923584
287,desire: 0.4067697823047638
288,admiration: 0.376141756772995
289,
290,b'Thank you':
291,gratitude: 0.9971941709518433
292,disgust: 0.3556300103664398
293,joy: 0.3536572754383087
294,
295,b'Youre very welcome Cindy Please let me know if I can be of any other help ':
296,curiosity: 0.4078008830547333
297,gratitude: 0.39872515201568604
298,approval: 0.38155046105384827
299,
300,b'Would a pt with spine lung and liver mets be a candidate for this ':
301,neutral: 0.5655412673950195
302,curiosity: 0.3602127134799957
303,nervousness: 0.3573510944843292
304,
305,b'Un dels oncolegs m s reconegut Antoni Ribas Oncoleg Catal que es dedica a lestudi i investigaci del c ncer de':
306,neutral: 0.38483068346977234
307,annoyance: 0.37018483877182007
308,anger: 0.3697645962238312
309,
310,b' CMAJ MacDeptMed ProfBEEM Dr Worster was my dads ERP when he had his MI never was I so relieved t':
311,neutral: 0.4871164560317993
312,nervousness: 0.3573357164859772
313,embarrassment: 0.3565835952758789
314,
315,b' MacHealthSci CMAJ MacDeptMed ProfBEEM Thanks for sharing this great example of partnership in action':
316,gratitude: 0.994244396686554
317,admiration: 0.897315502166748
318,curiosity: 0.35397881269454956
319,
320,b'Yes people who eat glucose become intolerant of it so just stop eating glucose and grains that carry it ':
321,neutral: 0.468468576669693
322,anger: 0.3756406605243683
323,annoyance: 0.3744187653064728
324,
325,b' NI':
326,neutral: 0.7778924107551575
327,admiration: 0.5565497875213623
328,amusement: 0.3907930850982666
329,
330,b'My A1C was 4 6 at 10 weeks and I failed my OGTT My A1C throughout my pregnancy never went higher th':
331,approval: 0.3737596869468689
332,sadness: 0.37333250045776367
333,annoyance: 0.36131712794303894
334,
335,b' NIH Lol never heard of this organization ':
336,amusement: 0.9988914132118225
337,nervousness: 0.3724832236766815
338,embarrassment: 0.3571469783782959
339,
340,b' EurekAlert una pregunta la Clortalidona 12 5 aumenta el Acido urico verdad Amlodipina 2 5 mg Telmisartan 20 mg opcion mas':
341,neutral: 0.4100390672683716
342,admiration: 0.3866116404533386
343,approval: 0.3794908821582794
344,
345,b'Oh for gods sake Lets see how many media outlets pick THIS one up ':
346,curiosity: 0.5192841291427612
347,anger: 0.38023269176483154
348,neutral: 0.3724764585494995
349,
350,b'If this is not that some cherry picked data ':
351,neutral: 0.5668799877166748
352,disapproval: 0.40537863969802856
353,confusion: 0.36420488357543945
354,
355,b' AnnieBruton kimble rachel':
356,neutral: 0.7056972980499268
357,confusion: 0.3650362193584442
358,nervousness: 0.3554917275905609
359,
360,b'This could be an ignobel candidate for AIR ':
361,neutral: 0.5031729340553284
362,admiration: 0.37439629435539246
363,surprise: 0.3582442104816437
364,
365,b'In 1998 Wakefield based on 12 patients all of them having significant other problems Wakefield is i':
366,neutral: 0.5195413827896118
367,approval: 0.36843204498291016
368,annoyance: 0.3650893568992615
369,
370,b' ivanoransky It has to make you laugh then think Um I dont think Abrahams means laugh at it because its under powered ':
371,neutral: 0.49282702803611755
372,disapproval: 0.38568079471588135
373,anger: 0.36404937505722046
374,
375,b' Skepticscalpel How are these study results even viable with only 9 participants ':
376,curiosity: 0.5023311972618103
377,neutral: 0.46726247668266296
378,confusion: 0.37314051389694214
379,
380,b' ivanoransky No ':
381,neutral: 0.7811304926872253
382,anger: 0.5916799902915955
383,disapproval: 0.42435020208358765
384,
385,b' stephaniemlee And a surrogate marker The fact that the AAAS brand is at the top with this disclaime':
386,neutral: 0.5633541941642761
387,nervousness: 0.356941282749176
388,approval: 0.35597604513168335
389,
390,b' stephaniemlee I naively didnt realize Eurekalert was a pay to subscribe or pay per use service That':
391,curiosity: 0.3957935571670532
392,neutral: 0.39095816016197205
393,confusion: 0.3784450888633728
394,
395,b'Its emerging that means its real ':
396,neutral: 0.6592590808868408
397,disapproval: 0.3731081187725067
398,approval: 0.36158910393714905
399,
400,b' ivanoransky No no Emerging means it is trial balloon If not too many folks giggle and gaffaw then they will run with it ':
401,neutral: 0.5868582129478455
402,disapproval: 0.4025822877883911
403,annoyance: 0.3685995638370514
404,
405,b'A total of nine healthy adults what a sample size drank around 200ml of tart cherry juice every day Researchers':
406,neutral: 0.5091714262962341
407,curiosity: 0.4003807604312897
408,nervousness: 0.3580683767795563
409,
410,b'You pay your money and aaas will lend you its credibility ':
411,neutral: 0.596204936504364
412,curiosity: 0.3809376358985901
413,approval: 0.36954420804977417
414,
415,b'You are so cynical ccziv Thanks for the read At least they noted who funded the study And 9 subjects ':
416,gratitude: 0.9940707087516785
417,curiosity: 0.36331692337989807
418,embarrassment: 0.35307177901268005
419,
420,b' ACSHorg Not only absurdly small n 9 but no control cohort diet uncontrolled this is bullshit not science ':
421,neutral: 0.5454281568527222
422,disapproval: 0.42530056834220886
423,annoyance: 0.3792717754840851
424,
425,b'Awsome invention ':
426,neutral: 0.5712607502937317
427,curiosity: 0.44281578063964844
428,admiration: 0.4352867603302002
429,
430,b'Im sorry but ever since the Theranos scandal I am very very VERY wary of any device that claims to be':
431,remorse: 0.9970663189888
432,sadness: 0.5273033380508423
433,disappointment: 0.36393100023269653
434,
435,b' VitorMendesPer1 Congrats Nikki ':
436,admiration: 0.47220104932785034
437,neutral: 0.4622965157032013
438,amusement: 0.4180169999599457
439,
440,b'I think I need this Lol':
441,amusement: 0.999035120010376
442,remorse: 0.3598134219646454
443,disapproval: 0.359097957611084
444,
445,b' medical xpress Let them eat cake then ':
446,neutral: 0.6367430090904236
447,approval: 0.37052732706069946
448,anger: 0.3687516748905182
449,
450,b'Thats way I love being a fluffy grandma ':
451,love: 0.9975952506065369
452,nervousness: 0.3640868663787842
453,embarrassment: 0.35980474948883057
454,
455,b'Nothing like adding a little fuel to the fire chuckle ':
456,neutral: 0.6237115859985352
457,annoyance: 0.3626328706741333
458,nervousness: 0.3564773499965668
459,
460,b'We are always here to help ':
461,neutral: 0.42401930689811707
462,anger: 0.3636300265789032
463,annoyance: 0.36181825399398804
464,
465,b' dupuytren But what ':
466,curiosity: 0.6312443017959595
467,neutral: 0.4174933135509491
468,confusion: 0.4003273546695709
469,
470,b' ThailandMedica':
471,neutral: 0.7986944317817688
472,nervousness: 0.3829994201660156
473,embarrassment: 0.3810615539550781
474,
475,b' ThailandMedica':
476,neutral: 0.7986944317817688
477,nervousness: 0.3829994201660156
478,embarrassment: 0.3810615539550781
479,
480,b' MassGeneralNews EurekAlert AmDiabetesAssn Seems very important For those of us without the means t':
481,neutral: 0.48256218433380127
482,admiration: 0.4306119382381439
483,approval: 0.36171674728393555
484,
485,b'This is exciting news I will be following I have been a DCCT EDIC study participant for TID for 30 years and will':
486,approval: 0.3825213611125946
487,admiration: 0.378780722618103
488,embarrassment: 0.3595328629016876
489,
490,b'BCG 1 HbA1c 3 5 BCG ':
491,neutral: 0.7567934393882751
492,optimism: 0.35983479022979736
493,nervousness: 0.3541214168071747
494,
495,b' EurekAlert Awesome info ':
496,admiration: 0.9978249073028564
497,excitement: 0.3726345896720886
498,surprise: 0.3526202142238617
499,
500,b' Microbiomeplus EurekAlert Good to know':
501,admiration: 0.7272397875785828
502,optimism: 0.3650550842285156
503,approval: 0.3633575141429901
504,
505,b' EurekAlert But they taste like mangoes ':
506,admiration: 0.5137719511985779
507,neutral: 0.4027189314365387
508,approval: 0.39094066619873047
509,
510,b' EurekAlert Love them Here in Fl they are coming into season I have 2 on my mango tree':
511,love: 0.9623509049415588
512,desire: 0.35885509848594666
513,disgust: 0.35861146450042725
514,
515,b' PCRM EurekAlert They are so yummy to me':
516,neutral: 0.44268807768821716
517,annoyance: 0.363243967294693
518,admiration: 0.36227309703826904
519,
520,b'Interesting study promoting the benefits of mangoes Perfect for summer ':
521,admiration: 0.5094910860061646
522,neutral: 0.38596534729003906
523,disgust: 0.3570156395435333
524,
525,b' NHK ':
526,neutral: 0.9825187921524048
527,anger: 0.36168867349624634
528,disgust: 0.3601149618625641
529,
530,b' doc cook Oh that is just too dang cool ':
531,admiration: 0.5251365303993225
532,surprise: 0.3667110502719879
533,approval: 0.36610206961631775
534,
535,b'If Vtgn shows efficacy jnj buys them':
536,neutral: 0.6286930441856384
537,excitement: 0.35844531655311584
538,embarrassment: 0.35695499181747437
539,
540,b' VTGN is gonna be lot better ':
541,admiration: 0.41336166858673096
542,approval: 0.39361709356307983
543,anger: 0.37665629386901855
544,
545,b' OfTraum':
546,neutral: 0.9236229658126831
547,anger: 0.4296395480632782
548,gratitude: 0.4064317047595978
549,
550,b'But on reading primary paper the evidence for interaction between fish protein parvalbumin and the clumps of':
551,neutral: 0.5548553466796875
552,surprise: 0.3573090732097626
553,confusion: 0.3567591905593872
554,
555,b' GrattonCaterina WUSTL A step in the right direction to assess reproducibility but continuous rsfMR':
556,neutral: 0.5317798852920532
557,approval: 0.3709092438220978
558,disgust: 0.35940298438072205
559,
560,b' hashtagAshleyN NeuroCellPress WUSTL stevenmnelson ndosenbach gordonneuro DeannaJGreene':
561,admiration: 0.4324101507663727
562,neutral: 0.39456483721733093
563,joy: 0.3671656847000122
564,
565,b' MDMagazine Blood tests have overtaken diagnosis to the near exclusion of patient self reports doctors active listening ':
566,neutral: 0.4569695293903351
567,curiosity: 0.4139663875102997
568,confusion: 0.36012473702430725
569,
570,b'Here are some more articles in this thread':
571,neutral: 0.5440121293067932
572,annoyance: 0.3646019399166107
573,approval: 0.3641209304332733
574,
575,b' ProfCarolineS Wonder if it would have any influence on other types of gynecological pain such as with en':
576,neutral: 0.41015005111694336
577,approval: 0.37643808126449585
578,curiosity: 0.3760792016983032
579,
580,b' ProfCarolineS Great question it looks like it is quite pain specific We are running a survey at th':
581,admiration: 0.9353049397468567
582,approval: 0.36596861481666565
583,disapproval: 0.3652108311653137
584,
585,b'Great work Would this type of device provide any relief for tension type headaches or is it mainly for migraines ':
586,admiration: 0.886056125164032
587,curiosity: 0.37920933961868286
588,approval: 0.3739129602909088
589,
590,b'Thank you for your interest Studies using sTMS have been studied specifically in migraine We do not ha':
591,gratitude: 0.9929534792900085
592,curiosity: 0.3647958040237427
593,confusion: 0.36078283190727234
594,
595,b'Hmm after TMS was initially hyped so much for psychiatric disorders only to slowly fizzle out cant sa':
596,neutral: 0.48576635122299194
597,annoyance: 0.3619562089443207
598,sadness: 0.36061590909957886
599,
600,b' aparanjape netshrink breakthrough path breaking miracle therapies are encountered probably':
601,neutral: 0.4743478298187256
602,curiosity: 0.38584038615226746
603,anger: 0.3735584020614624
604,
605,b' Antibodies against the gene products of individual TRK genes can be found at our website':
606,neutral: 0.5334526300430298
607,approval: 0.35843735933303833
608,desire: 0.35754504799842834
609,
610,b' MUSChealth Just what I need ':
611,curiosity: 0.44979074597358704
612,neutral: 0.4376380741596222
613,confusion: 0.38940665125846863
614,
615,b' DMResponse DrScottNewton robust new tech Bring it ':
616,joy: 0.4443417191505432
617,neutral: 0.3876548111438751
618,excitement: 0.368210107088089
619,
620,b'Hi todays chat topic is tips for using storytelling in dementia care creativitycare':
621,neutral: 0.5224472880363464
622,admiration: 0.3814179003238678
623,disapproval: 0.34994590282440186
624,
625,b'Wow Is that possible ':
626,admiration: 0.6268470883369446
627,curiosity: 0.42731979489326477
628,surprise: 0.3720719516277313
629,
630,b'Some times these findings come and go but we have try and make sure that we dont miss a simple therapy':
631,approval: 0.40084967017173767
632,neutral: 0.36950621008872986
633,confusion: 0.36132022738456726
634,
635,b'If this is true we can all get tested now or anytime Just a saliva test ':
636,neutral: 0.5609877705574036
637,curiosity: 0.36526021361351013
638,confusion: 0.36275628209114075
639,
640,b' SandeepBaglaMD Team VIV Very Happy to read that the procedure we described with my colleague Dr O':
641,joy: 0.9921378493309021
642,excitement: 0.38515210151672363
643,caring: 0.3743865191936493
644,
645,b'With a modified virus injected directly into the cancer interesting ':
646,admiration: 0.3815993666648865
647,approval: 0.37747469544410706
648,excitement: 0.3634486198425293
649,
650,b'Oncolytic virus is a hot topic ':
651,neutral: 0.48237624764442444
652,admiration: 0.4122953712940216
653,curiosity: 0.406252384185791
654,
655,b'And the sad reality is T vec is far in superior to PV10':
656,sadness: 0.660821259021759
657,desire: 0.43898457288742065
658,pride: 0.36716362833976746
659,
660,b' ARRS Radiology EurekAlert Which kind of breast cancers ':
661,neutral: 0.500566840171814
662,admiration: 0.40313759446144104
663,approval: 0.3850584030151367
664,
665,b'Include in the flight package lol':
666,amusement: 0.9990215301513672
667,nervousness: 0.36567139625549316
668,joy: 0.3632604479789734
669,
670,b'a 60K solution for an option already available OTC for under 5 bucks ha ':
671,neutral: 0.44264551997184753
672,curiosity: 0.3857993483543396
673,approval: 0.36703693866729736
674,
675,b'Comes standard with every first class ticket on Singapore Airlines ':
676,neutral: 0.5318355560302734
677,sadness: 0.36694371700286865
678,nervousness: 0.3612750172615051
679,
680,b'Is this a joke 60K ':
681,amusement: 0.4633394181728363
682,admiration: 0.4595201313495636
683,curiosity: 0.407590389251709
684,
685,b'Thats approximately what it currently costs for the blindness indication it is approved for ':
686,curiosity: 0.42079630494117737
687,neutral: 0.41912561655044556
688,approval: 0.35998567938804626
689,
690,b'Discount included in NRA memberships ':
691,neutral: 0.6610763669013977
692,excitement: 0.36480820178985596
693,nervousness: 0.35796910524368286
694,
695,b'Perfect price point for Skymall ':
696,admiration: 0.5083296298980713
697,neutral: 0.44861650466918945
698,anger: 0.4445464611053467
699,
700,b'Not a Vanda fan but PIII design suggests its used for just 1 day Implies cost per acute episode is':
701,neutral: 0.459490031003952
702,disapproval: 0.3748394250869751
703,approval: 0.3712688684463501
704,
705,b'Whoever chose the stock photo cant possibly be the same person who wrote this I wish they had read the article ':
706,desire: 0.9988644123077393
707,optimism: 0.4600028991699219
708,caring: 0.36385032534599304
709,
710,b' SanJoan Oh verd SanJoan ':
711,anger: 0.5287032127380371
712,annoyance: 0.3968733549118042
713,neutral: 0.3719046115875244
714,
715,b'2 things 1 Having everything will never work or make you happy 2 What others say is most of the ti':
716,joy: 0.9620956182479858
717,curiosity: 0.4664970636367798
718,excitement: 0.380411297082901
719,
720,b'nice ':
721,admiration: 0.9990642666816711
722,embarrassment: 0.3780342936515808
723,gratitude: 0.3746163249015808
724,
725,b'Been taking probiotics for a while Fecal transplant if they fail bacteria':
726,neutral: 0.5916335582733154
727,curiosity: 0.36495810747146606
728,embarrassment: 0.3619779646396637
729,
730,b'Ive used the orange brand which is okay But both my proctologist and gastroenterologist recomme':
731,neutral: 0.40226370096206665
732,approval: 0.3751782178878784
733,annoyance: 0.36718136072158813
734,
735,b'This is true Raine':
736,admiration: 0.5982262492179871
737,neutral: 0.3845072090625763
738,disgust: 0.36341026425361633
739,
740,b'Learn the basics of the Mediterranean Diet here':
741,neutral: 0.5193996429443359
742,annoyance: 0.36026960611343384
743,nervousness: 0.3598472476005554
744,
745,b'Weve written about the heart health benefits of a Mediterranean Diet here':
746,neutral: 0.546654462814331
747,curiosity: 0.3635614812374115
748,approval: 0.36059680581092834
749,
750,b'That sounds hopeful ':
751,admiration: 0.5069440007209778
752,curiosity: 0.43687671422958374
753,desire: 0.3771418631076813
754,
755,b'This is great Now why cant we make progress by making use of analyses of kratom supported by scien':
756,admiration: 0.8181266188621521
757,curiosity: 0.39080458879470825
758,approval: 0.37202900648117065
759,
760,b' SGottliebFDA Right And that not so much analysis as it is common sense ':
761,neutral: 0.4818762540817261
762,disapproval: 0.3980003595352173
763,approval: 0.3702731430530548
764,
765,b'Instead if intentional vagueness in addressing these deaths why not admit publicly that those 43 dea':
766,neutral: 0.5320274829864502
767,curiosity: 0.48193594813346863
768,confusion: 0.39847034215927124
769,
770,b'Clinical evaluation works well IMO ':
771,neutral: 0.7125067710876465
772,curiosity: 0.3642871081829071
773,nervousness: 0.3598780632019043
774,
775,b' Test results can be available within 3 to 4 hours CT results are available right away and allow eval':
776,neutral: 0.5384435653686523
777,annoyance: 0.3646034598350525
778,approval: 0.3633871078491211
779,
780,b'Super frustrating The scary thing is on the Banyan website Although they never use the word concuss':
781,neutral: 0.5082250833511353
782,admiration: 0.3614140450954437
783,nervousness: 0.35649511218070984
784,
785,b'Wow I just tweeted about this a sec ago as it seemed promising Digging in a little further it ap':
786,joy: 0.38109734654426575
787,approval: 0.3615690767765045
788,admiration: 0.3610755503177643
789,
790,b'Read it today too Had the thought that the FDA doesnt seem to know what this test does ':
791,neutral: 0.49026334285736084
792,curiosity: 0.47552040219306946
793,confusion: 0.3679753839969635
794,
795,b'It will get a lot of mention for concussion diagnosis but thats not its use And doesnt fit well i':
796,approval: 0.38567522168159485
797,disapproval: 0.37994539737701416
798,neutral: 0.36793193221092224
799,
800,b' nytimes Putting a price tag on events that risk TBI as opposed to a player sitting out if they fail a':
801,neutral: 0.6023649573326111
802,annoyance: 0.3640786111354828
803,curiosity: 0.36040225625038147
804,
805,b' concussionblog I completely agree':
806,approval: 0.6340552568435669
807,disapproval: 0.39056214690208435
808,love: 0.3854238986968994
809,
810,b' NFL Read this please ':
811,neutral: 0.4465636909008026
812,approval: 0.36404263973236084
813,embarrassment: 0.35904037952423096
814,
815,b'What about kids in sports So they can have early warnings to quit before they have to much damage m':
816,neutral: 0.4966541528701782
817,curiosity: 0.4588596522808075
818,confusion: 0.3640674650669098
819,
820,b' megtirrell This is why we have a Canadian CT head rule and PECARN ':
821,curiosity: 0.49841827154159546
822,neutral: 0.44966334104537964
823,confusion: 0.38930222392082214
824,
825,b'Let us be very clear that this is not a blood test for concussions but a blood test for ruling out in':
826,neutral: 0.44524791836738586
827,disapproval: 0.3833341598510742
828,annoyance: 0.3657849133014679
829,
830,b'It would have been nice if NATA1950 made that distinction when they tweeted the story out ':
831,admiration: 0.5580238699913025
832,joy: 0.373717725276947
833,curiosity: 0.36265796422958374
834,
835,b' ollq pllo FDA Thai ':
836,anger: 0.49786731600761414
837,curiosity: 0.3893222510814667
838,neutral: 0.38419073820114136
839,
840,b' ollq pllo CSF Rhinorrhea ':
841,neutral: 0.6277813911437988
842,anger: 0.4413275718688965
843,curiosity: 0.3704647123813629
844,
845,b' DrRider Marker dx Ct Dx plan treatment CT ':
846,neutral: 0.5281822085380554
847,amusement: 0.361585795879364
848,disapproval: 0.3614514172077179
849,
850,b' DrRider ':
851,neutral: 0.7254988551139832
852,gratitude: 0.47067567706108093
853,disapproval: 0.37550145387649536
854,
855,b' virenkaul drdangayach AmyGDalaMD Seems like another 1000 to bill for what If it takes 4 hrs its n':
856,neutral: 0.4443036615848541
857,curiosity: 0.4140934944152832
858,anger: 0.389021635055542
859,
860,b'Wow if this is real its a game changer ':
861,admiration: 0.4131123721599579
862,approval: 0.3766975402832031
863,joy: 0.37287864089012146
864,
865,b'Interesting article ':
